model,image_id,store_name_tp,store_name_fp,store_name_fn,store_address_tp,store_address_fp,store_address_fn,telephone_tp,telephone_fp,telephone_fn,date_tp,date_fp,date_fn,time_tp,time_fp,time_fn,prod_item_tp,prod_item_fp,prod_item_fn,prod_quantity_tp,prod_quantity_fp,prod_quantity_fn,prod_price_tp,prod_price_fp,prod_price_fn,subtotal_tp,subtotal_fp,subtotal_fn,tax_tp,tax_fp,tax_fn,tips_tp,tips_fp,tips_fn,total_tp,total_fp,total_fn
granite4,image_files/Image_13/10/dd627dcbe42bba6bf700f5df2eab16316015a067.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,3,3,0,0,3,0,0,0,1,0,1,0,0,0,1,0,1,0,0
granite4,image_files/Image_13/10/fb9e4f82f41f3540f6ae930f0519ba24280ff5b3.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,18,11,2,0,13,0,0,1,0,0,1,0,0,1,0,0,1,0,0
granite4,image_files/Image_14/11/02e3a989fc0888a8dc4f5241d1cdabd2eb8bf4d4.jpeg,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,5,0,5,0,0,1,4,0,1,0,0,1,0,0,1,0,0,1,0
granite4,image_files/Image_14/11/1d9b1fc7e0af78b4ed50a4ab0c853b98f2c2cd45.jpeg,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,7,0,7,0,7,0,0,0,1,1,0,1,1,0,1,1,0,1,1
granite4,image_files/Image_14/11/1f0bb6cc516b9f221b87a6a10e34b4cf1c7e3e0d.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,5,5,0,0,5,0,0,1,0,0,1,0,0,1,0,0,1,0,0
granite4,image_files/Image_14/11/2300.jpeg,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
granite4,image_files/Image_14/11/2a0a5634b5d0638fa19f315acc5da9b65b8ff3f9.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,4,4,0,0,4,0,0,1,0,0,1,0,0,0,1,0,1,0,0
granite4,image_files/Image_14/11/2ef60571a3b1e1da2d5b0a6cd7f95c7fc420339c.jpeg,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1
granite4,image_files/Image_14/11/3f915c4fd0e664ee1c6332d5cba5f8e737d71dc7.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,5,5,0,0,5,0,0,1,0,0,1,0,0,1,0,0,1,0,0
granite4,image_files/Image_14/11/463ffb3f0cc8088c95da7e4f406f5dca147d727b.jpeg,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,2,0,2,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1
granite4,image_files/Image_15/11/5dfb4facc4fa64bd1261945c0da97518f75792a6.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,4,0,0,3,0,1,1,0,0,1,0,0,0,1,0,1,0,0
granite4,image_files/Image_15/11/610ce4bbf243a52b28bca677c670222cb68ce4ea.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,2,2,0,0,1,0,0,1,0,0,1,0,0,0,1,1
granite4,image_files/Image_15/11/70dcbf621fdb34bfe9c5a06f833d5f814b5c38d9.jpeg,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,3,0,4,0,4,0,0,1,0,0,1,0,0,0,1,0,1,0,0
granite4,image_files/Image_15/11/8ba442d1e4bf8457cf279edeffc1230855a9f5ae.jpeg,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1
granite4,image_files/Image_15/11/8edfa6c0ca25942bd5e848c699060f7a2b58e649.jpeg,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
granite4,image_files/Image_15/11/92d2c3bd557d1d5e6b03ca24a28808c087ebc51b.jpeg,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,3,0,0,3,0,0,3,0,0,1,1,0,1,1,0,1,1,0,1,1
granite4,image_files/Image_16/11/9d19e188b4aab8f25f2736f3d9216ab2da5d41b4.jpeg,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,4,0,1,0,5,0,5,0,0,1,0,0,1,0,0,1,0,0,1,0,0
granite4,image_files/Image_16/11/a23d9edd16764c7c0aaa415352cc033ba81b2a65.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,2,3,0,0,3,0,0,1,0,0,1,0,0,0,1,0,0,1,1
granite4,image_files/Image_16/11/a30390748717cb33ad1a3154efc49e63fe02d7b4.jpeg,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0
granite4,image_files/Image_16/11/a41d7364b3a7bb55890fb1bd36ff2ec01271bd8d.jpeg,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,2,2,0,0,2,0,0,0,1,1,1,0,0,1,0,0,0,1,1
granite4,image_files/Image_16/11/b56293eb365607660b541ddad8ff96b523044ecf.jpeg,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
granite4,image_files/Image_16/11/c3f230e0bb4e9659a543854f4d49ebf95c7600c7.jpeg,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
granite4,image_files/Image_16/11/db8fe1b83c0ebeae1e5276611afcbdca7f6c60ad.jpeg,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,4,4,0,0,4,0,0,0,1,0,1,0,0,1,0,0,1,0,0
granite4,image_files/Image_16/11/df6d90f725301dc39a1a90db560a8522e704809d.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,2,2,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1
granite4,image_files/Image_17/11/f08140cf5dda5ad160d72328eacebc172dbb7fc5.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,2,0,2,4,0,0,4,0,0,1,0,0,1,0,0,1,0,0,1,0,0
granite4,image_files/Image_17/11/f77d4931d7b2127ff58659822c10812d9096ac1b.jpeg,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,3,3,0,0,1,0,5,1,0,0,0,1,0,0,1,0,0,1,0
granite4,image_files/Image_17/11/fae9f5dfb4c3ff89837e18eccbc1482a0ce74166.jpeg,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,7,9,16,0,0,9,0,7,0,1,1,0,1,1,0,1,0,0,1,1
granite4,image_files/Image_17/12/0df88ba3783cdf3a78a420276e25937e43b983ee.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1
granite4,image_files/Image_17/12/11167bee6dff263323cfc3ca04bd1536d3d2cda5.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,2,2,0,0,2,0,0,0,1,1,1,0,0,0,1,0,1,0,0
granite4,image_files/Image_18/12/1b53438d7deae8c480cabc6becedc3405fc55e81.jpeg,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,3,3,1,0,4,0,0,0,1,1,1,0,0,0,1,0,0,1,1
granite4,image_files/Image_18/12/2731.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,7,7,0,0,6,0,1,0,1,1,0,1,1,0,1,0,1,0,0
granite4,image_files/Image_19/12/4356.jpeg,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,4,2,0,2,2,0,2,1,0,0,1,0,0,0,1,0,0,1,1
granite4,image_files/Image_19/12/487d17e3a29f795f2d183315aeb759390d96c84c.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,2,0,1,3,0,0,3,0,0,0,1,1,1,0,0,0,1,0,1,0,0
granite4,image_files/Image_19/12/500de05932449ed818f7b0a89fde9c0424121843.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,8,3,1,2,3,1,2,1,0,0,1,0,0,0,1,0,1,0,0
granite4,image_files/Image_19/12/5c83d423d4e036f6fd1e80887defc25be41678e9.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,4,2,2,0,4,0,0,0,1,0,1,0,0,1,0,0,0,1,1
granite4,image_files/Image_19/12/650dd1d128aa5af24639bbaaaad4873e3889f067.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,2,0,4,6,0,0,6,0,0,1,0,0,1,0,0,1,0,0,1,0,0
granite4,image_files/Image_19/12/67c10ac3c00c5da07f0600a5a6bfac69062dc5c0.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,9,9,0,0,9,0,0,0,1,1,0,1,1,0,1,0,0,1,1
granite4,image_files/Image_19/12/67d589f847add2268fdafdb97c6f7bcd6403981a.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,3,3,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,1,0
granite4,image_files/Image_2/0/697617bf60249ec1fde7909a96f0ee07adbfff93.jpeg,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,6,0,5,0,1,3,0,3,0,1,1,1,0,0,1,0,0,1,0,0
granite4,image_files/Image_2/0/6cdc7ec61f7416b0321019dcacf805a5120653ea.jpeg,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
granite4,image_files/Image_2/0/6e26dc59f2dd4cb87b4abf96c799e86556fcc0ea.jpeg,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,2,0,5,6,0,1,6,0,1,1,0,0,1,0,0,1,0,0,1,0,0
granite4,image_files/Image_2/0/7564969cf99fe3e2187cf4815f305b3a24931abf.jpeg,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
granite4,image_files/Image_2/0/7e994f4be8c1675c2b3a63910e8085d3112893cc.jpeg,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,3,0,4,0,3,1,0,0,1,1,1,0,0,1,0,0,0,1,1
granite4,image_files/Image_2/0/828ed85f4e772a9f1c7036c98cd21ab47e59ce56.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0
granite4,image_files/Image_2/0/8503b34e776ac42c1ac3f3daf314001a022d5737.jpeg,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,9,5,1,4,3,1,6,1,0,0,1,0,0,0,1,0,1,0,0
granite4,image_files/Image_20/12/7621d9ab7c95d2574af4529621b62adc1f23d16a.jpeg,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1
granite4,image_files/Image_20/12/7902181f01d78a4001fc812cce082ab7b1feed72.jpeg,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1
granite4,image_files/Image_20/12/8082e95389f0032d13f67db4545f62989a9879ca.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,6,0,1,0,5,0,1,0,1,1,1,0,0,1,0,0,1,0,0
granite4,image_files/Image_20/12/aec4aed16250b817cc524e2b226708e9662de9ce.jpeg,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,2,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,1,1
granite4,image_files/Image_20/12/b4113afb7e241ab6ba9bdde81f394ece64a25d4f.jpeg,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,1,7,3,8,0,3,1,0,0,1,0,0,1,0,0,0,1,1
granite4,image_files/Image_21/12/d00f4314c7b542f15a31d8eb20be47428c3347db.jpeg,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,4,0,0,0,4,0,0,0,4,0,1,1,0,1,1,1,0,0,0,1,1
granite4,image_files/Image_21/12/d1b85e4417343974227ed6704724f0ce11e0a304.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1
granite4,image_files/Image_21/12/d9544f86929a619b45fc11338fa9df11fdb00905.jpeg,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,2,2,0,0,2,0,0,1,0,0,0,1,1,1,0,0,1,0,0
granite4,image_files/Image_21/12/dc428c171bf0628030d65fea0d847f8b9ab24f2d.jpeg,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,6,0,7,0,3,0,4,0,1,1,1,0,0,1,0,0,0,1,1
granite4,image_files/Image_21/12/e54888ae18d2bc0036252a841e281f398190098a.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,6,5,2,0,2,3,2,1,0,0,1,0,0,0,1,0,0,1,0
granite4,image_files/Image_22/12/fafea6015921f52caabb7848883d811881e1413c.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,3,0,3,0,0,1,0,0,1,0,0,0,1,0,1,0,0
granite4,image_files/Image_22/13/0a17dc110a2a86ecc763fb6e3270ba9f87689273.jpeg,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,7,0,5,0,10,2,10,0,2,1,0,0,0,1,0,0,1,0,0,1,1
granite4,image_files/Image_22/13/2829c6f90b432e9043bb4f1c87dbe12af02ca3c6.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,3,0,3,0,2,0,1,1,0,0,1,0,0,0,1,0,0,1,1
granite4,image_files/Image_23/13/3718.jpeg,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,7,0,7,0,7,0,0,1,0,0,1,0,0,0,1,0,1,0,0
granite4,image_files/Image_23/13/55b65dd0288a990d3e9dbf3ab6845768799e03d6.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,4,0,15,9,10,0,6,0,0,1,0,0,1,0,0,1,0,0,1,0,0
granite4,image_files/Image_23/13/66611920d733f3fcc181006f0dfc590ce2447ff4.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,4,4,0,0,4,0,0,1,0,0,1,0,0,1,0,0,0,1,1
granite4,image_files/Image_23/13/68af0cd82ec642006bbcf84c5f61cd9a1c47ff8e.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,6,6,0,0,1,0,5,0,1,1,1,0,0,1,0,0,1,0,0
granite4,image_files/Image_24/13/80760d8d9e7f5f13a247d7f588e13746c5512a13.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,2,0,5,6,0,0,6,0,0,1,0,0,0,1,1,0,1,0,1,0,0
granite4,image_files/Image_24/13/91a6cd548837fb1c5b4c3c5fef118e5acea5700c.jpeg,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
granite4,image_files/Image_24/13/bbca4eb9e2c517b41b40d0a9151bb489984a92bf.jpeg,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,6,3,1,0,0,1,3,1,0,0,0,1,1,0,1,0,0,1,1
granite4,image_files/Image_27/14/1d890038368f4ec51db2cc4005c69bc9c53747b0.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,2,2,0,0,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0
granite4,image_files/Image_27/14/2b40d55b69b1f070c73b228d3d470e3c999de68e.jpeg,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1
granite4,image_files/Image_27/14/3167.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,3,0,2,5,0,0,5,0,0,0,1,0,0,1,0,1,0,0,0,1,1
granite4,image_files/Image_27/14/32b598f0501097e1c3e6e135018f021183a8fb33.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
granite4,image_files/Image_28/14/3716a29f41402e22fe4c96b85d539b8119f6218a.jpeg,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,11,0,11,0,8,0,3,0,1,0,1,0,0,1,0,0,0,1,1
granite4,image_files/Image_28/14/3823.jpeg,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,7,8,0,0,8,0,0,0,1,0,1,0,0,1,0,0,1,0,0
granite4,image_files/Image_28/14/4281.jpeg,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,2,0,1,3,0,0,3,0,0,0,1,0,1,0,0,1,0,0,1,0,0
granite4,image_files/Image_28/14/473c2faa36aa8087dc225b2d59c5be81aa7620c1.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
granite4,image_files/Image_28/14/4f92cc1cb44e9f5e913cb14a5378f3ad4a6ff53c.jpeg,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,3,3,0,0,2,0,1,0,1,1,0,1,1,0,1,0,0,1,1
granite4,image_files/Image_28/14/538cc1efed07d9dfb899eed5388897fc5ce63fb0.jpeg,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,2,2,0,0,2,0,0,1,0,0,0,1,1,0,1,0,1,0,0
granite4,image_files/Image_28/14/5667994ad15df84989d2a0b978749c6cd7bc8a40.jpeg,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1
granite4,image_files/Image_29/14/5be66423183188f46cde09f6bb6e5fb20fb81db0.jpeg,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,6,0,5,1,6,0,0,0,1,0,0,1,0,1,0,0,0,1,0
granite4,image_files/Image_29/14/646bba4b22ffb5514dd723cbaeb283fa813a39b9.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,4,0,2,6,0,0,6,0,0,1,0,0,0,1,0,1,0,0,1,0,0
granite4,image_files/Image_29/14/6e4606b4fc65119c6b45c5dcac05a88551a017a2.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,3,3,0,0,3,0,0,1,0,0,0,1,1,1,0,0,0,1,0
granite4,image_files/Image_29/14/6ef9f7a607c44e85e9ee46f73946f896ab89f56c.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,5,0,5,0,0,0,5,1,0,0,1,0,0,0,1,0,0,1,1
granite4,image_files/Image_29/14/713c04800cd0b0c269e06c89f6f2b629e3776002.jpeg,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,6,0,6,0,4,0,3,0,1,0,1,0,0,1,0,0,1,0,0
granite4,image_files/Image_29/14/756d2b05655f64537f53149f2af971cecaa62e58.jpeg,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,6,7,0,0,2,0,5,0,1,1,0,1,0,0,1,0,0,1,1
granite4,image_files/Image_3/0/b118bac4a4c6b50ec732d51e72ae3b85571008cd.jpeg,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,2,15,0,17,0,3,2,12,1,0,0,1,0,0,0,1,0,0,1,1
